FG%,3P%,FT%,FTA,TRB,AST,TOV,STL,BLK,Opponent,Point_Differential,Home,Win,Team,Opponent_Win_Rate
0.47,0.37,0.759,29.0,46.0,26.0,20.0,13.0,2.0,ORL,12,0,1,CHI,0.5476190476190477
0.522,0.372,0.762,21.0,51.0,33.0,18.0,5.0,4.0,ATL,5,1,1,CHI,0.5609756097560976
0.538,0.438,0.778,18.0,46.0,34.0,16.0,6.0,2.0,SAC,13,1,1,CHI,0.2682926829268293
0.536,0.459,0.8,35.0,41.0,31.0,9.0,8.0,6.0,NYK,10,1,1,CHI,0.6463414634146342
0.484,0.425,0.818,11.0,46.0,28.0,14.0,7.0,3.0,NYK,-12,0,0,CHI,0.6463414634146342
0.472,0.382,0.8,20.0,48.0,26.0,18.0,11.0,9.0,PHI,2,1,1,CHI,0.5542168674698795
0.489,0.303,0.75,16.0,45.0,34.0,14.0,9.0,3.0,MIL,-16,0,0,CHI,0.3902439024390244
0.452,0.448,0.917,36.0,49.0,27.0,14.0,8.0,4.0,CLE,-6,0,0,CHI,0.6341463414634146
0.441,0.421,0.826,23.0,45.0,29.0,13.0,10.0,4.0,SAS,-4,1,0,CHI,0.7560975609756098
0.477,0.364,0.679,28.0,44.0,21.0,21.0,11.0,6.0,DET,-11,0,0,CHI,0.7317073170731707
0.454,0.38,0.938,32.0,60.0,38.0,17.0,7.0,10.0,UTA,-3,0,0,CHI,0.2682926829268293
0.471,0.358,0.789,19.0,53.0,31.0,9.0,5.0,4.0,DEN,3,0,1,CHI,0.6585365853658537
0.479,0.429,0.643,14.0,38.0,36.0,16.0,10.0,9.0,POR,1,0,1,CHI,0.5180722891566265
0.411,0.279,0.75,28.0,39.0,26.0,18.0,5.0,13.0,MIA,-36,1,0,CHI,0.5180722891566265
0.42,0.273,0.833,30.0,54.0,26.0,10.0,5.0,5.0,WAS,1,1,1,CHI,0.2073170731707317
0.524,0.4,0.75,32.0,33.0,29.0,17.0,4.0,3.0,NOP,-13,0,0,CHI,0.3170731707317073
0.474,0.222,0.8,20.0,44.0,31.0,11.0,8.0,1.0,CHO,-7,0,0,CHI,0.5357142857142857
0.448,0.412,0.563,16.0,45.0,24.0,13.0,5.0,3.0,IND,-2,0,0,CHI,0.23170731707317074
0.5,0.432,0.727,22.0,43.0,30.0,21.0,9.0,4.0,ORL,-5,0,0,CHI,0.5476190476190477
0.422,0.233,0.8,25.0,42.0,20.0,16.0,14.0,1.0,BRK,-10,1,0,CHI,0.24390243902439024
0.442,0.371,0.828,29.0,46.0,21.0,19.0,7.0,2.0,IND,-15,1,0,CHI,0.23170731707317074
0.36,0.275,0.842,19.0,38.0,24.0,15.0,12.0,4.0,GSW,-32,1,0,CHI,0.4523809523809524
0.553,0.357,0.789,19.0,44.0,29.0,12.0,3.0,6.0,CHO,3,0,1,CHI,0.5357142857142857
0.413,0.265,0.882,17.0,43.0,26.0,13.0,10.0,4.0,NOP,-10,1,0,CHI,0.3170731707317073
0.562,0.389,0.722,18.0,43.0,35.0,16.0,12.0,3.0,CLE,16,1,1,CHI,0.6341463414634146
0.52,0.383,0.8,15.0,48.0,34.0,12.0,12.0,5.0,CLE,11,0,1,CHI,0.6341463414634146
0.576,0.476,0.667,39.0,40.0,41.0,12.0,9.0,3.0,ATL,2,0,1,CHI,0.5609756097560976
0.505,0.333,0.75,28.0,48.0,35.0,16.0,4.0,5.0,ATL,3,0,1,CHI,0.5609756097560976
0.442,0.341,0.76,25.0,52.0,31.0,12.0,3.0,6.0,PHI,7,1,1,CHI,0.5542168674698795
0.419,0.342,0.75,16.0,52.0,28.0,15.0,5.0,2.0,MIL,-9,1,0,CHI,0.3902439024390244
0.409,0.342,0.857,14.0,42.0,25.0,17.0,3.0,7.0,MIN,-35,1,0,CHI,0.5975609756097561
0.511,0.349,0.735,34.0,49.0,33.0,9.0,5.0,7.0,NOP,16,1,1,CHI,0.3170731707317073
0.5,0.341,0.895,19.0,47.0,31.0,13.0,6.0,5.0,ORL,7,1,1,CHI,0.5476190476190477
0.448,0.268,0.714,14.0,43.0,32.0,11.0,9.0,5.0,CHO,-13,1,0,CHI,0.5357142857142857
0.442,0.348,0.9,10.0,45.0,25.0,13.0,2.0,4.0,BOS,-14,0,0,CHI,0.6829268292682927
0.425,0.382,0.667,9.0,45.0,27.0,17.0,5.0,8.0,DET,-15,0,0,CHI,0.7317073170731707
0.515,0.326,0.833,12.0,52.0,31.0,16.0,10.0,7.0,DAL,18,1,1,CHI,0.3170731707317073
