FG%,3P%,FT%,FTA,TRB,AST,TOV,STL,BLK,Opponent,Point_Differential,Home,Win,Team,Opponent_Win_Rate
0.549,0.471,0.737,19.0,39.0,41.0,14.0,15.0,7.0,POR,19,0,1,CLE,0.5180722891566265
0.51,0.39,0.615,13.0,44.0,30.0,9.0,17.0,5.0,LAC,33,0,1,CLE,0.5060240963855421
0.523,0.314,0.906,32.0,38.0,30.0,12.0,9.0,3.0,SAC,6,0,1,CLE,0.2682926829268293
0.467,0.333,0.818,22.0,39.0,25.0,12.0,6.0,7.0,DEN,2,0,1,CLE,0.6585365853658537
0.542,0.421,0.865,37.0,51.0,30.0,21.0,9.0,8.0,WAS,25,1,1,CLE,0.2073170731707317
0.512,0.343,0.6,20.0,56.0,27.0,14.0,7.0,7.0,BRK,28,1,1,CLE,0.24390243902439024
0.532,0.476,0.929,28.0,39.0,24.0,12.0,10.0,3.0,CHO,5,0,1,CLE,0.5357142857142857
0.483,0.333,0.737,19.0,44.0,28.0,17.0,9.0,3.0,OKC,-8,0,0,CLE,0.7804878048780488
0.425,0.371,0.733,30.0,45.0,23.0,11.0,11.0,6.0,NYK,15,1,1,CLE,0.6463414634146342
0.483,0.3,0.741,27.0,44.0,28.0,11.0,7.0,2.0,MIL,-2,0,0,CLE,0.3902439024390244
0.457,0.371,0.741,27.0,41.0,32.0,18.0,10.0,9.0,DET,-3,0,0,CLE,0.7317073170731707
0.486,0.481,0.676,37.0,38.0,25.0,17.0,9.0,7.0,BRK,4,0,1,CLE,0.24390243902439024
0.442,0.37,0.769,26.0,38.0,27.0,10.0,7.0,4.0,DET,4,1,1,CLE,0.7317073170731707
0.407,0.289,0.714,21.0,42.0,23.0,9.0,4.0,6.0,BOS,-11,1,0,CLE,0.6829268292682927
0.452,0.364,0.92,25.0,41.0,28.0,10.0,4.0,8.0,PHI,14,1,1,CLE,0.5542168674698795
0.494,0.386,0.654,26.0,42.0,24.0,10.0,3.0,5.0,ORL,-6,0,0,CLE,0.5476190476190477
0.615,0.474,0.615,13.0,45.0,32.0,14.0,12.0,4.0,DAL,33,0,1,CLE,0.3170731707317073
0.511,0.39,0.667,21.0,38.0,32.0,16.0,5.0,5.0,DAL,-10,1,0,CLE,0.3170731707317073
0.488,0.333,0.794,34.0,46.0,27.0,7.0,3.0,4.0,MIL,7,0,1,CLE,0.3902439024390244
0.44,0.341,0.677,31.0,54.0,26.0,16.0,11.0,5.0,CHI,5,0,1,CLE,0.3780487804878049
0.477,0.308,0.682,22.0,55.0,26.0,14.0,6.0,4.0,NOP,5,0,1,CLE,0.3170731707317073
0.605,0.4,0.897,29.0,33.0,24.0,8.0,7.0,4.0,ORL,5,1,1,CLE,0.5476190476190477
0.432,0.324,0.875,24.0,40.0,26.0,14.0,4.0,1.0,MIA,-17,1,0,CLE,0.5180722891566265
0.536,0.463,0.839,31.0,46.0,38.0,10.0,9.0,1.0,MIA,21,1,1,CLE,0.5180722891566265
0.522,0.188,0.815,27.0,49.0,33.0,12.0,9.0,7.0,UTA,9,0,1,CLE,0.2682926829268293
0.494,0.333,0.737,19.0,35.0,26.0,14.0,5.0,2.0,LAL,-14,0,0,CLE,0.6463414634146342
0.512,0.444,0.692,26.0,46.0,28.0,15.0,7.0,1.0,GSW,7,0,1,CLE,0.4523809523809524
0.467,0.34,0.789,19.0,46.0,26.0,10.0,8.0,6.0,IND,9,1,1,CLE,0.23170731707317074
0.584,0.375,0.703,37.0,48.0,36.0,13.0,12.0,5.0,MEM,16,0,1,CLE,0.3048780487804878
0.466,0.364,0.8,35.0,47.0,22.0,11.0,6.0,6.0,ATL,6,1,1,CLE,0.5609756097560976
0.453,0.259,0.944,18.0,40.0,25.0,19.0,8.0,6.0,ATL,-22,0,0,CLE,0.5609756097560976
0.539,0.419,0.762,21.0,53.0,31.0,20.0,8.0,4.0,WAS,13,1,1,CLE,0.2073170731707317
0.373,0.429,0.808,26.0,37.0,20.0,16.0,5.0,3.0,SAS,-33,1,0,DAL,0.7560975609756098
0.432,0.294,0.778,27.0,48.0,23.0,21.0,11.0,5.0,WAS,-10,1,0,DAL,0.2073170731707317
0.588,0.385,0.744,39.0,49.0,32.0,20.0,12.0,7.0,TOR,10,1,1,DAL,0.5609756097560976
0.379,0.308,0.727,22.0,36.0,20.0,9.0,6.0,4.0,OKC,-7,1,0,DAL,0.7804878048780488
0.456,0.208,0.811,37.0,47.0,21.0,19.0,4.0,7.0,IND,2,1,1,DAL,0.23170731707317074
0.425,0.356,0.839,31.0,43.0,23.0,15.0,3.0,3.0,DET,-12,0,0,DAL,0.7317073170731707
0.449,0.25,0.65,20.0,40.0,30.0,15.0,12.0,6.0,HOU,-8,0,0,DAL,0.6341463414634146
0.416,0.313,0.75,20.0,44.0,18.0,15.0,11.0,7.0,NOP,-2,1,0,DAL,0.3170731707317073
0.488,0.256,0.625,16.0,44.0,25.0,18.0,7.0,6.0,MEM,-14,0,0,DAL,0.3048780487804878
0.452,0.25,0.7,30.0,51.0,26.0,13.0,15.0,6.0,WAS,6,0,1,DAL,0.2073170731707317
0.416,0.231,0.756,41.0,52.0,25.0,15.0,8.0,8.0,MIL,-2,1,0,DAL,0.3902439024390244
0.5,0.362,0.647,17.0,45.0,32.0,21.0,10.0,10.0,PHO,-9,1,0,DAL,0.5476190476190477
0.444,0.278,0.763,38.0,50.0,18.0,25.0,11.0,7.0,LAC,-6,1,0,DAL,0.5060240963855421
0.505,0.441,0.675,40.0,47.0,33.0,15.0,7.0,9.0,POR,5,1,1,DAL,0.5180722891566265
0.4,0.3,0.613,31.0,43.0,13.0,20.0,7.0,4.0,MIN,-24,0,0,DAL,0.5975609756097561
0.412,0.364,0.833,30.0,50.0,23.0,18.0,6.0,5.0,NYK,-2,1,0,DAL,0.6463414634146342
0.476,0.372,0.786,28.0,47.0,30.0,20.0,9.0,9.0,NOP,3,1,1,DAL,0.3170731707317073
0.385,0.333,0.875,16.0,41.0,19.0,10.0,4.0,9.0,MEM,-6,1,0,DAL,0.3048780487804878
0.392,0.3,0.875,16.0,50.0,22.0,16.0,8.0,5.0,MIA,-4,0,0,DAL,0.5180722891566265
0.484,0.438,0.85,20.0,39.0,28.0,11.0,8.0,4.0,LAL,-10,0,0,DAL,0.6463414634146342
0.444,0.282,0.821,28.0,37.0,22.0,9.0,15.0,2.0,LAC,4,0,1,DAL,0.5060240963855421
0.558,0.516,0.643,14.0,43.0,35.0,8.0,4.0,4.0,DEN,10,0,1,DAL,0.6585365853658537
0.505,0.5,0.833,12.0,50.0,31.0,15.0,6.0,7.0,MIA,10,1,1,DAL,0.5180722891566265
0.477,0.432,0.65,20.0,35.0,28.0,12.0,2.0,3.0,OKC,-21,0,0,DAL,0.7804878048780488
0.598,0.368,0.85,20.0,31.0,22.0,13.0,13.0,4.0,HOU,13,1,1,DAL,0.6341463414634146
0.489,0.333,0.773,22.0,40.0,33.0,14.0,10.0,8.0,BRK,8,1,1,DAL,0.24390243902439024
0.49,0.333,0.683,41.0,54.0,24.0,15.0,6.0,6.0,UTA,-7,0,0,DAL,0.2682926829268293
0.449,0.185,0.861,36.0,51.0,22.0,17.0,4.0,15.0,DET,2,1,1,DAL,0.7317073170731707
0.542,0.167,0.955,22.0,44.0,24.0,18.0,5.0,7.0,PHI,-7,0,0,DAL,0.5542168674698795
0.442,0.303,0.524,21.0,57.0,29.0,17.0,9.0,5.0,NOP,-6,0,0,DAL,0.3170731707317073
0.57,0.407,0.933,15.0,36.0,34.0,11.0,9.0,2.0,DEN,1,1,1,DAL,0.6585365853658537
0.551,0.286,0.667,21.0,41.0,18.0,11.0,5.0,5.0,GSW,-10,0,0,DAL,0.4523809523809524
0.46,0.481,0.7,20.0,51.0,23.0,21.0,6.0,8.0,SAC,-6,0,0,DAL,0.2682926829268293
0.505,0.344,0.792,24.0,41.0,33.0,12.0,6.0,7.0,POR,-3,0,0,DAL,0.5180722891566265
0.447,0.214,0.9,20.0,39.0,23.0,13.0,8.0,1.0,PHI,-15,1,0,DAL,0.5542168674698795
0.55,0.381,0.778,18.0,47.0,24.0,16.0,6.0,10.0,HOU,6,1,1,DAL,0.6341463414634146
0.406,0.296,0.667,21.0,55.0,19.0,17.0,6.0,3.0,SAC,2,0,1,DAL,0.2682926829268293
0.518,0.417,0.846,13.0,47.0,30.0,21.0,4.0,2.0,UTA,-2,0,0,DAL,0.2682926829268293
0.429,0.371,0.64,25.0,42.0,25.0,14.0,7.0,6.0,CHI,-18,0,0,DAL,0.3780487804878049
0.506,0.441,0.75,16.0,37.0,28.0,14.0,9.0,3.0,BRK,8,1,1,DAL,0.24390243902439024
0.441,0.147,0.667,33.0,47.0,16.0,6.0,6.0,3.0,DEN,-9,1,0,DAL,0.6585365853658537
0.567,0.413,0.789,19.0,46.0,37.0,13.0,13.0,7.0,UTA,22,1,1,DAL,0.2682926829268293
0.538,0.439,0.611,36.0,44.0,36.0,11.0,8.0,2.0,UTA,18,1,1,DAL,0.2682926829268293
0.488,0.469,0.679,28.0,49.0,25.0,17.0,9.0,5.0,NYK,17,0,1,DAL,0.6463414634146342
0.5,0.371,0.8,30.0,54.0,25.0,22.0,6.0,6.0,GSW,8,1,1,DAL,0.4523809523809524
0.415,0.345,0.759,29.0,43.0,22.0,11.0,10.0,6.0,LAL,-6,1,0,DAL,0.6463414634146342
0.452,0.167,0.667,39.0,50.0,22.0,19.0,6.0,3.0,MIN,-13,1,0,DAL,0.5975609756097561
0.466,0.333,0.875,16.0,50.0,26.0,8.0,7.0,8.0,CHO,-2,1,0,DAL,0.5357142857142857
0.446,0.435,0.577,26.0,48.0,19.0,11.0,3.0,4.0,HOU,-4,0,0,DAL,0.6341463414634146
0.416,0.281,0.773,22.0,49.0,21.0,9.0,4.0,4.0,BOS,-10,1,0,DAL,0.6829268292682927
0.485,0.387,0.85,20.0,41.0,23.0,9.0,9.0,8.0,SAS,-12,1,0,DAL,0.7560975609756098
0.438,0.405,0.75,24.0,41.0,35.0,7.0,10.0,4.0,SAS,-13,0,0,DAL,0.7560975609756098
0.481,0.227,0.727,44.0,42.0,18.0,16.0,7.0,5.0,PHO,-9,0,0,DAL,0.5476190476190477
0.494,0.269,0.76,25.0,28.0,22.0,15.0,7.0,1.0,LAL,-20,0,0,DAL,0.6463414634146342
0.423,0.32,0.724,29.0,45.0,21.0,12.0,12.0,3.0,MIN,-11,0,0,DAL,0.5975609756097561
0.543,0.393,0.656,32.0,45.0,29.0,11.0,9.0,2.0,IND,4,0,1,DAL,0.23170731707317074
0.585,0.348,0.792,24.0,44.0,26.0,16.0,5.0,4.0,BRK,9,0,1,DAL,0.24390243902439024
0.556,0.435,0.618,34.0,42.0,23.0,18.0,4.0,3.0,SAC,-9,1,0,DAL,0.2682926829268293
0.42,0.281,0.667,33.0,46.0,24.0,21.0,4.0,4.0,MEM,-19,1,0,DAL,0.3048780487804878
0.388,0.29,0.75,16.0,49.0,20.0,17.0,6.0,1.0,OKC,-13,1,0,DAL,0.7804878048780488
0.378,0.136,0.738,42.0,42.0,19.0,15.0,7.0,4.0,CHO,-27,0,0,DAL,0.5357142857142857
0.453,0.438,0.786,28.0,44.0,28.0,13.0,6.0,9.0,ORL,-1,0,0,DAL,0.5476190476190477
0.409,0.4,0.833,12.0,45.0,23.0,10.0,2.0,5.0,BOS,-20,0,0,DAL,0.6829268292682927
0.398,0.167,0.85,20.0,47.0,22.0,19.0,5.0,7.0,TOR,-30,0,0,DAL,0.5609756097560976
0.477,0.406,0.773,22.0,43.0,28.0,14.0,6.0,0.0,ATL,-12,0,0,DAL,0.5609756097560976
0.484,0.344,0.792,24.0,60.0,25.0,20.0,8.0,9.0,MEM,8,0,1,DAL,0.3048780487804878
0.437,0.273,0.833,24.0,40.0,27.0,19.0,4.0,3.0,CLE,-33,1,0,DAL,0.6341463414634146
0.529,0.5,0.852,27.0,44.0,35.0,13.0,13.0,5.0,CLE,10,0,1,DAL,0.6341463414634146
0.423,0.359,0.643,14.0,51.0,27.0,12.0,10.0,3.0,NOP,-18,0,0,DAL,0.3170731707317073
0.488,0.393,0.862,29.0,43.0,26.0,19.0,8.0,6.0,ATL,-15,1,0,DAL,0.5609756097560976
0.471,0.382,0.759,29.0,47.0,25.0,11.0,5.0,6.0,LAC,-7,1,0,DAL,0.5060240963855421
0.586,0.444,0.65,20.0,26.0,37.0,23.0,13.0,3.0,GSW,-6,1,0,DAL,0.4523809523809524
0.495,0.343,0.794,34.0,42.0,31.0,4.0,3.0,3.0,DEN,-7,0,0,DAL,0.6585365853658537
0.444,0.292,0.7,30.0,37.0,24.0,17.0,12.0,5.0,POR,7,0,1,DAL,0.5180722891566265
0.348,0.241,0.735,34.0,53.0,21.0,15.0,6.0,3.0,MIN,-30,1,0,DAL,0.5975609756097561
0.354,0.278,0.75,28.0,50.0,18.0,14.0,12.0,4.0,MIL,-24,0,0,DAL,0.3902439024390244
0.463,0.333,0.806,31.0,41.0,25.0,13.0,9.0,5.0,ORL,-11,1,0,DAL,0.5476190476190477
0.523,0.438,0.778,36.0,38.0,27.0,7.0,11.0,5.0,LAL,6,1,1,DAL,0.6463414634146342
0.35,0.182,0.964,28.0,54.0,18.0,9.0,9.0,7.0,LAC,-13,0,0,DAL,0.5060240963855421
0.416,0.361,0.909,22.0,43.0,27.0,12.0,4.0,5.0,PHO,-5,0,0,DAL,0.5476190476190477
0.459,0.375,0.789,19.0,35.0,26.0,7.0,7.0,6.0,SAS,-19,0,0,DAL,0.7560975609756098
0.52,0.449,0.852,27.0,57.0,35.0,18.0,10.0,5.0,CHI,21,1,1,DAL,0.3780487804878049
0.537,0.4,0.929,14.0,43.0,32.0,13.0,8.0,4.0,GSW,-6,0,0,DEN,0.4523809523809524
0.512,0.29,0.905,42.0,43.0,31.0,16.0,14.0,1.0,PHO,22,1,1,DEN,0.5476190476190477
0.523,0.5,0.88,25.0,46.0,24.0,14.0,5.0,4.0,MIN,13,0,1,DEN,0.5975609756097561
0.533,0.333,0.857,14.0,56.0,40.0,14.0,6.0,4.0,NOP,34,1,1,DEN,0.3170731707317073
0.481,0.24,0.806,31.0,46.0,19.0,19.0,6.0,7.0,POR,-2,0,0,DEN,0.5180722891566265
0.515,0.316,0.75,24.0,40.0,33.0,8.0,9.0,5.0,SAC,6,1,1,DEN,0.2682926829268293
0.426,0.275,0.893,28.0,61.0,33.0,17.0,10.0,4.0,MIA,10,1,1,DEN,0.5180722891566265
0.561,0.485,0.84,25.0,41.0,34.0,9.0,8.0,4.0,GSW,25,1,1,DEN,0.4523809523809524
0.484,0.296,0.826,23.0,55.0,32.0,18.0,8.0,2.0,IND,17,1,1,DEN,0.23170731707317074
0.512,0.394,0.778,27.0,48.0,24.0,13.0,6.0,2.0,SAC,14,0,1,DEN,0.2682926829268293
0.524,0.382,0.829,35.0,42.0,22.0,12.0,9.0,3.0,LAC,14,0,1,DEN,0.5060240963855421
0.47,0.483,0.816,38.0,47.0,29.0,13.0,9.0,6.0,MIN,11,0,1,DEN,0.5975609756097561
0.474,0.389,0.84,25.0,53.0,21.0,8.0,6.0,5.0,CHI,-3,1,0,DEN,0.3780487804878049
0.554,0.355,0.815,27.0,41.0,35.0,20.0,8.0,1.0,NOP,7,0,1,DEN,0.3170731707317073
0.526,0.379,0.778,27.0,38.0,28.0,15.0,8.0,7.0,HOU,3,0,1,DEN,0.6341463414634146
0.489,0.378,0.826,23.0,38.0,28.0,13.0,1.0,3.0,SAC,-5,1,0,DEN,0.2682926829268293
0.505,0.512,0.786,14.0,46.0,32.0,14.0,5.0,3.0,MEM,10,0,1,DEN,0.3048780487804878
0.527,0.41,0.8,30.0,44.0,27.0,17.0,5.0,5.0,SAS,-3,1,0,DEN,0.7560975609756098
0.579,0.579,0.952,21.0,40.0,36.0,17.0,2.0,5.0,PHO,18,0,1,DEN,0.5476190476190477
0.475,0.324,0.833,18.0,47.0,37.0,8.0,5.0,5.0,DAL,-10,1,0,DEN,0.3170731707317073
0.59,0.607,0.769,26.0,38.0,23.0,11.0,6.0,5.0,IND,15,0,1,DEN,0.23170731707317074
0.528,0.432,0.8,30.0,42.0,28.0,12.0,9.0,6.0,ATL,1,0,1,DEN,0.5609756097560976
0.518,0.371,0.727,22.0,35.0,29.0,10.0,8.0,2.0,CHO,9,0,1,DEN,0.5357142857142857
0.591,0.414,0.69,29.0,46.0,35.0,12.0,9.0,0.0,SAC,31,0,1,DEN,0.2682926829268293
0.506,0.441,0.818,33.0,38.0,24.0,11.0,10.0,4.0,HOU,3,1,1,DEN,0.6341463414634146
0.557,0.444,0.8,15.0,40.0,31.0,15.0,7.0,3.0,ORL,11,1,1,DEN,0.5476190476190477
0.402,0.276,0.826,23.0,39.0,21.0,11.0,9.0,2.0,HOU,-14,1,0,DEN,0.6341463414634146
0.5,0.511,0.76,25.0,51.0,37.0,11.0,8.0,7.0,UTA,23,1,1,DEN,0.2682926829268293
0.575,0.488,1.0,10.0,34.0,39.0,15.0,8.0,1.0,DAL,-1,0,0,DEN,0.3170731707317073
0.465,0.442,0.906,32.0,45.0,31.0,17.0,6.0,5.0,MIN,4,1,1,DEN,0.5975609756097561
0.512,0.379,0.9,30.0,49.0,27.0,16.0,5.0,3.0,ORL,-1,0,0,DEN,0.5476190476190477
0.528,0.355,0.818,22.0,36.0,29.0,10.0,5.0,4.0,MIA,-24,0,0,DEN,0.5180722891566265
0.425,0.294,0.824,34.0,47.0,17.0,11.0,5.0,5.0,TOR,3,0,1,DEN,0.5609756097560976
0.426,0.362,0.846,13.0,32.0,26.0,9.0,8.0,3.0,CLE,-5,0,0,DEN,0.6341463414634146
0.482,0.355,0.786,28.0,33.0,29.0,10.0,4.0,5.0,BRK,-12,0,0,DEN,0.24390243902439024
0.531,0.486,0.75,28.0,38.0,26.0,19.0,6.0,6.0,PHI,1,0,1,DEN,0.5542168674698795
0.448,0.455,0.667,24.0,39.0,27.0,9.0,7.0,8.0,BOS,4,0,1,DEN,0.6829268292682927
0.417,0.344,0.8,20.0,44.0,22.0,19.0,6.0,2.0,ATL,-23,1,0,DEN,0.5609756097560976
0.402,0.4,0.774,31.0,45.0,23.0,9.0,5.0,5.0,MIL,4,1,1,DEN,0.3902439024390244
0.488,0.4,0.813,32.0,32.0,24.0,7.0,8.0,3.0,NOP,6,0,1,DEN,0.3170731707317073
0.494,0.421,0.818,22.0,39.0,21.0,9.0,4.0,1.0,DAL,9,0,1,DEN,0.3170731707317073
0.529,0.4,0.739,23.0,38.0,31.0,13.0,7.0,4.0,WAS,6,1,1,DEN,0.2073170731707317
0.405,0.211,0.833,18.0,29.0,21.0,8.0,7.0,5.0,CHO,-23,1,0,DEN,0.5357142857142857
0.448,0.405,0.737,19.0,31.0,27.0,5.0,6.0,7.0,LAL,-8,1,0,DEN,0.6463414634146342
0.446,0.346,0.923,26.0,46.0,22.0,14.0,9.0,6.0,WAS,10,0,1,DEN,0.2073170731707317
0.402,0.293,0.87,23.0,47.0,27.0,8.0,8.0,3.0,MIL,2,0,1,DEN,0.3902439024390244
0.476,0.345,0.739,23.0,49.0,22.0,15.0,4.0,9.0,DET,-2,1,0,DEN,0.7317073170731707
0.475,0.5,0.72,25.0,41.0,24.0,7.0,6.0,4.0,BRK,4,1,1,DEN,0.24390243902439024
0.548,0.571,0.813,32.0,43.0,30.0,13.0,7.0,4.0,LAC,13,1,1,DEN,0.5060240963855421
0.494,0.457,0.708,24.0,39.0,29.0,18.0,9.0,4.0,OKC,-10,1,0,DEN,0.7804878048780488
0.446,0.333,0.86,43.0,43.0,20.0,10.0,7.0,10.0,DET,-3,0,0,DEN,0.7317073170731707
0.438,0.26,0.815,27.0,51.0,29.0,16.0,8.0,3.0,NYK,-7,0,0,DEN,0.6463414634146342
0.576,0.485,0.667,33.0,41.0,37.0,14.0,7.0,7.0,CHI,16,0,1,DEN,0.3780487804878049
0.447,0.325,0.8,35.0,46.0,25.0,14.0,9.0,1.0,CLE,-2,1,0,DEN,0.6341463414634146
0.531,0.455,0.813,32.0,46.0,29.0,15.0,2.0,1.0,MEM,6,1,1,DEN,0.3048780487804878
0.453,0.325,0.742,31.0,45.0,29.0,17.0,8.0,2.0,LAC,-1,0,0,DEN,0.5060240963855421
0.573,0.512,0.813,32.0,60.0,41.0,16.0,12.0,3.0,POR,54,0,1,DEN,0.5180722891566265
0.462,0.258,0.862,29.0,44.0,25.0,17.0,13.0,3.0,GSW,-11,0,0,DEN,0.4523809523809524
0.419,0.349,0.556,18.0,54.0,28.0,9.0,4.0,4.0,BOS,19,1,1,DEN,0.6829268292682927
0.417,0.375,0.773,22.0,51.0,27.0,18.0,10.0,6.0,OKC,-6,0,0,DEN,0.7804878048780488
0.482,0.273,0.741,27.0,44.0,21.0,14.0,2.0,4.0,MIN,-9,1,0,DEN,0.5975609756097561
0.541,0.41,0.914,35.0,38.0,25.0,15.0,4.0,2.0,UTA,3,0,1,DEN,0.2682926829268293
0.52,0.452,0.903,31.0,41.0,27.0,18.0,3.0,1.0,LAL,7,1,1,DEN,0.6463414634146342
0.446,0.2,0.7,30.0,31.0,30.0,15.0,6.0,1.0,NYK,-39,1,0,DEN,0.6463414634146342
0.459,0.405,0.724,29.0,56.0,29.0,8.0,3.0,3.0,OKC,-3,0,0,DEN,0.7804878048780488
0.552,0.531,0.727,22.0,42.0,36.0,10.0,12.0,4.0,HOU,36,1,1,DEN,0.6341463414634146
0.5,0.333,0.947,38.0,47.0,27.0,10.0,8.0,4.0,SAS,5,0,1,DEN,0.7560975609756098
0.463,0.388,0.818,22.0,41.0,33.0,16.0,13.0,5.0,LAL,-2,0,0,DEN,0.6463414634146342
0.5,0.485,0.71,31.0,53.0,35.0,14.0,5.0,2.0,PHI,28,1,1,DEN,0.5542168674698795
0.489,0.361,0.773,22.0,46.0,34.0,19.0,6.0,5.0,MEM,-7,0,0,DEN,0.3048780487804878
0.543,0.467,0.76,25.0,38.0,26.0,10.0,5.0,2.0,TOR,6,1,1,DEN,0.5609756097560976
0.544,0.391,0.923,13.0,42.0,37.0,11.0,6.0,3.0,POR,16,1,1,DEN,0.5180722891566265
0.511,0.406,0.733,30.0,50.0,35.0,10.0,2.0,2.0,PHO,2,0,1,DEN,0.5476190476190477
0.562,0.5,0.793,29.0,45.0,36.0,9.0,1.0,1.0,DAL,7,1,1,DEN,0.3170731707317073
0.474,0.396,0.813,32.0,50.0,34.0,15.0,5.0,4.0,UTA,6,1,1,DEN,0.2682926829268293
0.5,0.475,0.917,12.0,40.0,31.0,12.0,11.0,4.0,GSW,23,1,1,DEN,0.4523809523809524
0.484,0.41,0.839,31.0,53.0,30.0,14.0,9.0,4.0,UTA,13,0,1,DEN,0.2682926829268293
0.485,0.413,0.864,22.0,44.0,34.0,6.0,5.0,6.0,SAS,2,1,1,DEN,0.7560975609756098
0.515,0.316,0.875,24.0,45.0,37.0,12.0,10.0,5.0,POR,5,1,1,DEN,0.5180722891566265
0.589,0.389,0.762,21.0,52.0,31.0,12.0,6.0,5.0,MEM,17,1,1,DEN,0.3048780487804878
0.505,0.488,0.923,13.0,49.0,28.0,17.0,10.0,7.0,OKC,20,1,1,DEN,0.7804878048780488
0.5,0.367,0.773,22.0,58.0,30.0,12.0,4.0,5.0,SAS,10,0,1,DEN,0.7560975609756098
0.443,0.292,0.692,26.0,46.0,29.0,10.0,8.0,10.0,CHI,-4,0,0,DET,0.3780487804878049
0.467,0.41,0.652,23.0,48.0,26.0,18.0,6.0,11.0,HOU,4,0,1,DET,0.6341463414634146
0.419,0.265,0.889,36.0,55.0,22.0,16.0,7.0,5.0,BOS,6,1,1,DET,0.6829268292682927
0.379,0.324,0.667,27.0,48.0,20.0,26.0,12.0,4.0,CLE,-21,1,0,DET,0.6341463414634146
0.495,0.406,0.882,34.0,46.0,29.0,14.0,11.0,8.0,ORL,19,1,1,DET,0.5476190476190477
0.495,0.375,0.676,34.0,47.0,29.0,8.0,10.0,4.0,DAL,12,1,1,DET,0.3170731707317073
0.506,0.323,0.69,29.0,43.0,23.0,14.0,11.0,9.0,MEM,8,0,1,DET,0.3048780487804878
0.495,0.367,0.591,22.0,52.0,24.0,13.0,5.0,6.0,UTA,11,1,1,DET,0.2682926829268293
0.576,0.231,0.7,30.0,46.0,32.0,13.0,14.0,1.0,BRK,18,0,1,DET,0.24390243902439024
0.476,0.433,0.714,28.0,37.0,23.0,16.0,12.0,5.0,PHI,3,0,1,DET,0.5542168674698795
0.412,0.317,0.789,38.0,63.0,27.0,16.0,16.0,5.0,WAS,2,1,1,DET,0.2073170731707317
0.556,0.433,0.688,16.0,44.0,30.0,19.0,13.0,5.0,CHI,11,1,1,DET,0.3780487804878049
0.446,0.415,0.833,18.0,46.0,32.0,14.0,9.0,7.0,PHI,9,1,1,DET,0.5542168674698795
0.545,0.257,0.733,30.0,43.0,29.0,17.0,9.0,8.0,IND,15,1,1,DET,0.23170731707317074
0.542,0.323,0.833,24.0,39.0,28.0,15.0,12.0,4.0,ATL,8,0,1,DET,0.5609756097560976
0.628,0.533,0.625,24.0,32.0,31.0,14.0,10.0,6.0,MIL,13,0,1,DET,0.3902439024390244
0.5,0.36,0.784,37.0,45.0,24.0,17.0,8.0,4.0,IND,5,0,1,DET,0.23170731707317074
0.398,0.306,0.806,36.0,56.0,20.0,13.0,5.0,7.0,BOS,-3,0,0,DET,0.6829268292682927
0.44,0.393,0.774,31.0,49.0,22.0,24.0,7.0,8.0,ORL,-3,1,0,DET,0.5476190476190477
0.591,0.423,0.739,23.0,43.0,29.0,21.0,11.0,3.0,MIA,3,0,1,DET,0.5180722891566265
0.442,0.192,0.75,24.0,60.0,18.0,23.0,11.0,9.0,ATL,1,1,1,DET,0.5609756097560976
0.4,0.326,0.792,24.0,44.0,25.0,15.0,8.0,5.0,MIL,-4,0,0,DET,0.3902439024390244
0.463,0.417,0.75,48.0,37.0,24.0,14.0,8.0,7.0,POR,6,1,1,DET,0.5180722891566265
0.5,0.375,0.742,31.0,53.0,31.0,16.0,5.0,4.0,MIL,12,1,1,DET,0.3902439024390244
0.582,0.414,0.828,29.0,40.0,34.0,14.0,16.0,6.0,ATL,27,1,1,DET,0.5609756097560976
0.461,0.361,0.68,25.0,39.0,21.0,11.0,9.0,3.0,BOS,7,0,1,DET,0.6829268292682927
0.385,0.182,0.7,20.0,62.0,26.0,12.0,11.0,4.0,DAL,-2,0,0,DET,0.3170731707317073
0.441,0.214,0.75,32.0,61.0,23.0,20.0,16.0,10.0,CHO,26,1,1,DET,0.5357142857142857
0.436,0.233,0.625,24.0,48.0,28.0,10.0,11.0,7.0,POR,8,0,1,DET,0.5180722891566265
0.537,0.438,0.714,28.0,42.0,38.0,15.0,9.0,8.0,SAC,9,0,1,DET,0.2682926829268293
0.522,0.486,0.652,23.0,41.0,38.0,17.0,11.0,10.0,UTA,-2,0,0,DET,0.2682926829268293
0.415,0.241,0.857,28.0,45.0,18.0,13.0,9.0,6.0,LAC,-13,0,0,DET,0.5060240963855421
0.632,0.458,0.724,29.0,37.0,30.0,20.0,12.0,4.0,LAL,22,0,1,DET,0.6463414634146342
0.475,0.346,0.871,31.0,40.0,25.0,21.0,11.0,9.0,MIA,-6,1,0,DET,0.5180722891566265
0.411,0.375,1.0,21.0,45.0,25.0,17.0,11.0,9.0,CLE,4,0,1,DET,0.6341463414634146
0.547,0.516,0.688,16.0,44.0,25.0,16.0,12.0,11.0,NYK,31,1,1,DET,0.6463414634146342
0.489,0.364,0.75,8.0,39.0,35.0,9.0,10.0,8.0,CHI,15,1,1,DET,0.3780487804878049
0.398,0.229,0.72,25.0,47.0,21.0,25.0,18.0,13.0,LAC,-6,1,0,DET,0.5060240963855421
0.469,0.281,0.622,37.0,54.0,25.0,17.0,10.0,7.0,PHO,3,1,1,DET,0.5476190476190477
